I_tot,I_detected,t_first_detection,I_t_detection
1,1,8.1,1.0
1,1,4.1000000000000005,1.0
9,3,8.1,2.0
154,93,6.1000000000000005,3.0
4,2,7.1000000000000005,4.0
1,0,NaN,NaN
1,1,10.100000000000001,1.0
1,1,11.100000000000001,1.0
1,0,NaN,NaN
1,0,NaN,NaN
1,0,NaN,NaN
1,0,NaN,NaN
1,1,4.1000000000000005,1.0
170,96,5.1000000000000005,4.0
169,97,13.100000000000001,13.0
1,1,7.1000000000000005,1.0
148,92,8.1,1.0
1,0,NaN,NaN
2,2,9.1,1.0
1,0,NaN,NaN
2,1,5.1000000000000005,1.0
184,121,4.1000000000000005,11.0
1,0,NaN,NaN
20,12,6.1000000000000005,4.0
1,1,6.1000000000000005,1.0
1,1,12.100000000000001,1.0
161,101,7.1000000000000005,10.0
2,2,8.1,1.0
1,0,NaN,NaN
120,69,16.1,10.0
1,0,NaN,NaN
1,1,10.100000000000001,1.0
1,0,NaN,NaN
1,1,10.100000000000001,1.0
2,0,NaN,NaN
158,97,6.1000000000000005,8.0
1,0,NaN,NaN
1,1,4.1000000000000005,1.0
1,1,8.1,1.0
28,12,10.100000000000001,10.0
1,0,NaN,NaN
174,104,4.1000000000000005,20.0
1,1,8.1,1.0
1,1,9.1,1.0
1,1,5.1000000000000005,1.0
1,1,3.1,1.0
171,114,6.1000000000000005,8.0
180,100,10.100000000000001,10.0
1,1,7.1000000000000005,1.0
3,1,13.100000000000001,3.0
1,0,NaN,NaN
1,1,9.1,1.0
190,118,5.1000000000000005,1.0
1,0,NaN,NaN
1,1,7.1000000000000005,1.0
1,1,4.1000000000000005,1.0
1,0,NaN,NaN
187,124,14.100000000000001,17.0
1,0,NaN,NaN
186,117,19.1,31.0
57,33,12.100000000000001,7.0
1,0,NaN,NaN
1,1,6.1000000000000005,1.0
1,0,NaN,NaN
1,1,5.1000000000000005,1.0
1,0,NaN,NaN
157,91,14.100000000000001,8.0
1,1,8.1,1.0
